fornecedor,categoria_despesa,valor_mensal
Padaria Pão Dourado,Despesas Administrativas,1200.0
Distribuidora Boa Carne,CMV,8500.0
Frigorífico Sao Jorge,CMV,6200.0
Contabilidade Contabil,Despesas Administrativas,950.0
Mercado Preço Justo,CMV,3400.0
Assessoria Jurídica Silva,Despesas Administrativas,0.0
Distribuidora de Bebidas Total,CMV,0.0
Dedetizadora Limpa Tudo,Despesas Administrativas,480.0
Banco Credaamigo,Despesas Financeiras,310.0
Fornecedora de Descartáveis Embalagens,Despesas Administrativas,670.0
Loja de Utensílios Cozinha Boa,CMV,0.0
Contador Pessoa Física,Despesas Administrativas,1500.0
Segurança Patrimonial Vigia,Despesas Administrativas,890.0
Manutenção Elétrica Rapida,Despesas Administrativas,540.0
